date,total_assets,asset_obligation_ratio,total_liabilities,usdon_eth,usdon_bnb,usdon_sol,usdy_qty_current
2026-08-01,"1,148,369,729.97",108.35%,"1,062,677,056.72","5,248,089.54","10,001,311.24","4,997,192.28","7,070,400.24"
2026-08-02,"1,150,014,831.36",108.32%,"1,062,471,720.73","5,251,524.60","10,010,110.29","5,004,439.52","7,077,820.92"
2026-08-03,"1,149,513,278.86",108.25%,"1,062,314,161.98","5,251,270.62","10,012,710.38","4,995,890.24","7,069,528.89"
2026-08-04,"1,150,318,015.48",108.22%,"1,060,922,676.17","5,244,881.16","10,003,038.62","5,002,793.47","7,072,836.08"
2026-08-05,"1,148,804,393.48",108.30%,"1,061,253,294.72","5,249,293.33","10,001,757.59","4,995,708.23","7,073,011.48"
2026-08-06,"1,149,654,412.33",108.17%,"1,062,528,204.05","5,250,926.38","10,002,766.40","4,995,663.23","7,070,182.40"
2026-08-07,"1,149,962,193.64",108.18%,"1,061,731,067.21","5,247,825.06","10,007,344.07","5,004,823.54","7,073,004.41"
2026-08-08,"1,150,053,677.55",108.36%,"1,061,674,371.54","5,243,501.05","9,999,351.67","5,002,386.45","7,073,435.85"
2026-08-09,"1,148,545,802.02",108.33%,"1,062,409,079.44","5,243,170.45","10,007,215.97","5,004,490.52","7,075,174.32"
2026-08-10,"1,148,334,791.39",108.22%,"1,061,123,340.61","5,244,271.40","10,000,386.50","4,995,317.22","7,068,275.60"
2026-08-11,"1,149,566,606.17",108.25%,"1,060,999,332.11","5,247,189.05","10,003,276.81","4,998,049.31","7,066,500.36"
2026-08-12,"1,149,126,426.04",108.35%,"1,062,643,506.48","5,246,165.77","10,017,486.21","4,996,106.24","7,071,759.62"
2026-08-13,"$   1,149,295,372.46",108.25%,"$ 1,061,716,627.86","5,247,581.57","10,008,024.62","5,000,167.38","7,072,701.70"
2026-08-14,"1,150,369,274.06",108.28%,"1,062,749,678.14","5,246,484.83","10,016,783.64","4,996,395.25","7,070,553.01"
2026-08-15,"1,148,289,049.43",108.15%,"1,062,186,331.30","5,252,770.38","10,002,111.88","4,997,706.30","7,069,857.06"
2026-08-16,"1,150,006,096.72",108.24%,"1,061,902,215.93","5,248,302.59","10,017,944.57","5,000,709.40","7,072,722.92"
2026-08-17,"1,148,909,209.21",108.34%,"1,062,716,977.27","5,249,607.14","10,016,519.43","5,002,986.47","7,078,323.08"
2026-08-18,"1,149,533,966.18",108.28%,"1,062,483,611.95","5,250,202.21","9,998,128.69","4,997,685.30","7,073,089.28"
2026-08-19,"1,148,834,734.87",108.25%,"1,061,856,349.77","5,248,536.63","9,999,745.98","4,998,866.34","7,067,658.86"
2026-08-20,"1,149,027,816.50",108.27%,"1,061,228,238.21","5,246,334.74","9,999,503.79","4,998,812.33","7,072,469.72"
2026-08-21,"1,150,152,746.81",108.33%,"1,060,681,241.80","5,244,465.56","10,010,536.63","5,003,763.50","7,072,526.30"
2026-08-22,"1,149,462,709.87",108.24%,"1,061,331,437.07","5,252,177.40","10,002,596.27","4,997,713.30","7,070,335.17"
2026-08-23,"1,150,399,845.31",108.24%,"1,061,487,509.41","5,245,006.06","10,009,493.80","4,997,520.29","7,067,557.02"
2026-08-24,"1,148,400,531.08",108.21%,"1,061,208,914.97","5,245,415.37","10,010,488.60","5,004,840.54","7,077,908.62"
2026-08-25,"1,149,415,588.76",108.22%,"1,062,430,313.78","5,250,395.32","10,016,661.55","5,000,812.40","7,065,726.60"
2026-08-26,"1,150,057,815.01",108.30%,"1,062,692,133.10","5,246,507.91","9,998,549.02","4,996,372.25","7,067,441.02"
2026-08-27,"1,148,728,999.70",108.20%,"1,061,207,428.57","5,247,763.14","10,008,609.09","5,002,128.45","7,069,367.63"
2026-08-28,"1,149,219,518.97",108.15%,"1,061,773,748.21","5,244,280.84","10,017,440.17","5,001,032.41","7,073,363.70"
2026-08-29,"1,149,306,865.41",108.19%,"1,061,709,620.53","5,249,624.98","10,015,486.60","5,000,717.40","7,071,493.68"
2026-08-30,"1,148,580,280.88",108.34%,"1,061,682,865.27","5,249,405.63","9,998,398.90","5,004,864.54","7,076,607.25"
